train_stop_id,trip_id,stop_sequence,stop_id,arrival_time,departure_time,no_exit,no_entry,border_control,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25
FS IC Notte 1960:4,FS IC Notte 1960,4.0,Salerno,2026-02-27 06:42:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1960:5,FS IC Notte 1960,5.0,Baqël,2026-02-27 07:41:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1960:99,FS IC Notte 1960,99.0,Roma Termini,2026-02-27 09:51:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:0,FS IC Notte 1962,0.0,Siracusa,,2026-02-27 13:35:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:1,FS IC Notte 1962,1.0,Catania Centrale,,2026-02-27 14:54:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:2,FS IC Notte 1962,2.0,Taormina Giardini,,2026-02-27 15:39:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:3,FS IC Notte 1962,3.0,Messina Centrale,,2026-02-27 16:45:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:4,FS IC Notte 1962,4.0,Lamezia Terme Centrale,,2026-02-27 20:00:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:5,FS IC Notte 1962,5.0,Salerno,,2026-02-27 23:33:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:6,FS IC Notte 1962,6.0,Firenze S. M. N.,2026-02-27 05:36:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:7,FS IC Notte 1962,7.0,Bologna Centrale,2026-02-27 07:07:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1962:99,FS IC Notte 1962,99.0,Milano Centrale,2026-02-27 10:10:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:0,FS IC Notte 1963,0.0,Milano Centrale,,2026-02-27 20:10:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:1,FS IC Notte 1963,1.0,Bologna Centrale,,2026-02-27 22:48:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:2,FS IC Notte 1963,2.0,Firenze S. M. N.,,2026-02-27 00:12:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:3,FS IC Notte 1963,3.0,Salerno,2026-02-27 06:13:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:4,FS IC Notte 1963,4.0,Lamezia Terme Centrale,2026-02-27 09:29:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:5,FS IC Notte 1963,5.0,Messina Centrale,2026-02-27 12:45:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:6,FS IC Notte 1963,6.0,Taormina Giardini,2026-02-27 13:51:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:7,FS IC Notte 1963,7.0,Catania Centrale,2026-02-27 14:32:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1963:99,FS IC Notte 1963,99.0,Siracusa,2026-02-27 15:48:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:0,FS IC Notte 1964,0.0,Palermo Centrale,,2026-02-27 12:58:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:1,FS IC Notte 1964,1.0,Termini Imerese,,2026-02-27 13:25:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:2,FS IC Notte 1964,2.0,Barcellona Castroreale,,2026-02-27 15:49:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:3,FS IC Notte 1964,3.0,Messina Centrale,,2026-02-27 16:45:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:4,FS IC Notte 1964,4.0,Lamezia Terme Centrale,,2026-02-27 20:00:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:5,FS IC Notte 1964,5.0,Salerno,,2026-02-27 23:33:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:6,FS IC Notte 1964,6.0,Firenze S. M. N.,2026-02-27 05:36:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:7,FS IC Notte 1964,7.0,Bologna Centrale,2026-02-27 07:07:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1964:99,FS IC Notte 1964,99.0,Milano Centrale,2026-02-27 10:10:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:0,FS IC Notte 1967,0.0,Milano Centrale,,2026-02-27 20:10:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:1,FS IC Notte 1967,1.0,Bologna Centrale,,2026-02-27 22:48:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:2,FS IC Notte 1967,2.0,Firenze S. M. N.,,2026-02-27 00:12:00,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:3,FS IC Notte 1967,3.0,Salerno,2026-02-27 06:13:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:4,FS IC Notte 1967,4.0,Lamezia Terme Centrale,2026-02-27 09:29:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:5,FS IC Notte 1967,5.0,Messina Centrale,2026-02-27 12:45:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:6,FS IC Notte 1967,6.0,Barcellona Castroreale,2026-02-27 13:48:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:7,FS IC Notte 1967,7.0,Termini Imerese,2026-02-27 16:17:00,,,,,,,,,,,,,,,,,,,,,
FS IC Notte 1967:99,FS IC Notte 1967,99.0,Palermo Centrale,2026-02-27 16:55:00,,,,,,,,,,,,,,,,,,,,,
FS TT 96100:0,FS TT 96100,0.0,Roma Termini,,2026-02-27 21:40:00,,,,,,,,,,,,,,,,,,,,
FS TT 96100:1,FS TT 96100,1.0,Orte,,2026-02-27 22:58:00,,,,,,,,,,,,,,,,,,,,
FS TT 96100:2,FS TT 96100,2.0,Orvieto,,2026-02-27 23:27:00,,,,,,,,,,,,,,,,,,,,
FS TT 96100:3,FS TT 96100,3.0,Treviso Centrale,,,,,,,,,,,,,,,,,,,,,,
FS TT 96100:99,FS TT 96100,99.0,Calalzo-Pieve Di Cadore (Cortina),2026-02-27 08:50:00,,,,,,,,,,,,,,,,,,,,,
FS TT 96101:0,FS TT 96101,0.0,Calalzo-Pieve Di Cadore (Cortina),,2026-02-27 21:00:00,,,,,,,,,,,,,,,,,,,,
FS TT 96101:1,FS TT 96101,1.0,Treviso Centrale,,,,,,,,,,,,,,,,,,,,,,
FS TT 96101:2,FS TT 96101,2.0,Orvieto,,2026-02-27 05:17:00,,,,,,,,,,,,,,,,,,,,
FS TT 96101:3,FS TT 96101,3.0,Orte,,2026-02-27 05:57:00,,,,,,,,,,,,,,,,,,,,
FS TT 96101:99,FS TT 96101,99.0,Roma Termini,2026-02-27 06:40:00,,,,,,,,,,,,,,,,,,,,,
GA F5 725:0,GA F5 725,0.0,Oslo S,,2026-02-27 22:25:00,,,,,,,,,,,,,,,,,,,,
GA F5 725:1,GA F5 725,1.0,Drammen,,2026-02-27 23:00:00,,,,,,,,,,,,,,,,,,,,
GA F5 725:2,GA F5 725,2.0,Kongsberg,,2026-02-27 23:43:00,,,,,,,,,,,,,,,,,,,,
GA F5 725:3,GA F5 725,3.0,Sandnes,2026-02-27 07:02:00,,,,,,,,,,,,,,,,,,,,,
GA F5 725:99,GA F5 725,99.0,Stavanger,2026-02-27 07:20:00,,,,,,,,,,,,,,,,,,,,,
GA F5 726:0,GA F5 726,0.0,Stavanger,,2026-02-27 22:15:00,,,,,,,,,,,,,,,,,,,,
GA F5 726:1,GA F5 726,1.0,Sandnes,,2026-02-27 22:31:00,,,,,,,,,,,,,,,,,,,,
GA F5 726:2,GA F5 726,2.0,Kongsberg,2026-02-27 06:09:00,,,,,,,,,,,,,,,,,,,,,
GA F5 726:3,GA F5 726,3.0,Drammen,2026-02-27 06:50:00,,,,,,,,,,,,,,,,,,,,,
GA F5 726:99,GA F5 726,99.0,Oslo S,2026-02-27 07:26:00,,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (Penzance):0,GWR Sleeper (Penzance),0.0,London Paddington,,2026-02-27 23:45:00,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (Penzance):1,GWR Sleeper (Penzance),1.0,Reading,,2026-02-27 00:49:00,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (Penzance):2,GWR Sleeper (Penzance),2.0,Plymouth,2026-02-27 05:10:00,,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (Penzance):99,GWR Sleeper (Penzance),99.0,Penzance,2026-02-27 07:50:00,,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (London):0,GWR Sleeper (London),0.0,Penzance,,2026-02-27 21:45:00,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (London):1,GWR Sleeper (London),1.0,Plymouth,,2026-02-27 23:54:00,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (London):2,GWR Sleeper (London),2.0,Reading,2026-02-27 03:55:00,,,,,,,,,,,,,,,,,,,,,
GWR Sleeper (London):99,GWR Sleeper (London),99.0,London Paddington,2026-02-27 05:08:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1820:0,HŽPP 1820,0.0,Split,,2026-02-27 21:11:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1820:1,HŽPP 1820,1.0,Knin,,2026-02-27 23:40:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1820:2,HŽPP 1820,2.0,Karlovac,2026-02-27 04:52:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1820:99,HŽPP 1820,99.0,Zagreb Gl. K.,2026-02-27 05:49:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1821:0,HŽPP 1821,0.0,Zagreb Gl. K.,,2026-02-27 22:30:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1821:1,HŽPP 1821,1.0,Karlovac,,2026-02-27 23:25:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1821:2,HŽPP 1821,2.0,Knin,2026-02-27 04:29:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1821:99,HŽPP 1821,99.0,Split,2026-02-27 07:01:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1840:0,HŽPP 1840,0.0,Vukovar,,2026-02-27 16:57:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1840:1,HŽPP 1840,1.0,Slavonski Brod,,2026-02-27 18:16:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1840:2,HŽPP 1840,2.0,Zagreb Gl. K.,,2026-02-27 22:30:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1840:3,HŽPP 1840,3.0,Karlovac,,2026-02-27 23:25:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1840:4,HŽPP 1840,4.0,Knin,2026-02-27 04:20:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1840:99,HŽPP 1840,99.0,Split,2026-02-27 06:51:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1841:0,HŽPP 1841,0.0,Split,,2026-02-27 21:11:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1841:1,HŽPP 1841,1.0,Knin,,2026-02-27 23:41:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1841:2,HŽPP 1841,2.0,Zagreb Gl. K.,2026-02-27 05:49:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1841:3,HŽPP 1841,3.0,Slavonski Brod,2026-02-27 10:02:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1841:99,HŽPP 1841,99.0,Vukovar,2026-02-27 11:11:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1880:0,HŽPP 1880,0.0,Osijek,,2026-02-27 19:48:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1880:1,HŽPP 1880,1.0,Zagreb Gl. K.,,2026-02-27 01:00:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1880:2,HŽPP 1880,2.0,Knin,2026-02-27 06:57:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1880:99,HŽPP 1880,99.0,Split,2026-02-27 09:21:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1881:0,HŽPP 1881,0.0,Split,,2026-02-27 22:23:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1881:1,HŽPP 1881,1.0,Knin,,2026-02-27 00:36:00,,,,,,,,,,,,,,,,,,,,
HŽPP 1881:2,HŽPP 1881,2.0,Zagreb Gl. K.,2026-02-27 06:21:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1881:3,HŽPP 1881,3.0,Bjelovar,2026-02-27 08:10:00,,,,,,,,,,,,,,,,,,,,,
HŽPP 1881:99,HŽPP 1881,99.0,Osijek,2026-02-27 12:04:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:0,HŽPP/ÖBB EN 480,0.0,Rijeka,,2026-02-27 18:57:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:1,HŽPP/ÖBB EN 480,1.0,Opatija Matulji,,2026-02-27 19:14:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:2,HŽPP/ÖBB EN 480,2.0,Ljubljana,,2026-02-27 22:08:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:3,HŽPP/ÖBB EN 480,3.0,Villach Hbf,,2026-02-27 00:13:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:4,HŽPP/ÖBB EN 480,4.0,Rosenheim,2026-02-27 05:17:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:5,HŽPP/ÖBB EN 480,5.0,München Ost,2026-02-27 05:50:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:6,HŽPP/ÖBB EN 480,6.0,Augsburg Hbf,2026-02-27 06:45:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:7,HŽPP/ÖBB EN 480,7.0,Ulm Hbf,2026-02-27 07:36:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 480:99,HŽPP/ÖBB EN 480,99.0,Stuttgart Hbf,2026-02-27 08:38:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:0,HŽPP/ÖBB EN 60237,0.0,Stuttgart Hbf,,2026-02-27 20:29:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:1,HŽPP/ÖBB EN 60237,1.0,Ulm Hbf,,2026-02-27 21:53:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:2,HŽPP/ÖBB EN 60237,2.0,Augsburg Hbf,,2026-02-27 23:03:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:3,HŽPP/ÖBB EN 60237,3.0,München Ost,,2026-02-27 23:54:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:4,HŽPP/ÖBB EN 60237,4.0,Rosenheim,,2026-02-27 00:33:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:5,HŽPP/ÖBB EN 60237,5.0,Villach Hbf,2026-02-27 05:51:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:6,HŽPP/ÖBB EN 60237,6.0,Ljubljana,2026-02-27 08:10:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:7,HŽPP/ÖBB EN 60237,7.0,Opatija Matulji,2026-02-27 10:56:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 60237:99,HŽPP/ÖBB EN 60237,99.0,Rijeka,2026-02-27 11:12:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:0,HŽPP/ÖBB EN 414,0.0,Zagreb Gl. K.,,2026-02-27 19:38:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:1,HŽPP/ÖBB EN 414,1.0,Ljubljana,,2026-02-27 22:13:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:2,HŽPP/ÖBB EN 414,2.0,Villach Hbf,,2026-02-27 00:13:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:3,HŽPP/ÖBB EN 414,3.0,Rosenheim,2026-02-27 05:17:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:4,HŽPP/ÖBB EN 414,4.0,München Ost,2026-02-27 05:50:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:5,HŽPP/ÖBB EN 414,5.0,Augsburg Hbf,2026-02-27 06:45:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:6,HŽPP/ÖBB EN 414,6.0,Ulm Hbf,2026-02-27 07:36:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 414:99,HŽPP/ÖBB EN 414,99.0,Stuttgart Hbf,2026-02-27 08:38:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:0,HŽPP/ÖBB EN 40237,0.0,Stuttgart Hbf,,2026-02-27 20:29:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:1,HŽPP/ÖBB EN 40237,1.0,Ulm Hbf,,2026-02-27 21:53:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:2,HŽPP/ÖBB EN 40237,2.0,Augsburg Hbf,,2026-02-27 23:03:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:3,HŽPP/ÖBB EN 40237,3.0,München Ost,,2026-02-27 23:54:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:4,HŽPP/ÖBB EN 40237,4.0,Rosenheim,,2026-02-27 00:33:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:5,HŽPP/ÖBB EN 40237,5.0,Villach Hbf,2026-02-27 05:51:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:6,HŽPP/ÖBB EN 40237,6.0,Ljubljana,2026-02-27 08:10:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40237:99,HŽPP/ÖBB EN 40237,99.0,Zagreb Gl. K.,2026-02-27 10:39:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:0,HŽPP/ÖBB EN 40414,0.0,Zagreb Gl. K.,,2026-02-27 19:38:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:1,HŽPP/ÖBB EN 40414,1.0,Ljubljana,,2026-02-27 22:13:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:2,HŽPP/ÖBB EN 40414,2.0,Villach Hbf,,2026-02-27 00:13:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:3,HŽPP/ÖBB EN 40414,3.0,Innsbruck Hbf,2026-02-27 04:49:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:4,HŽPP/ÖBB EN 40414,4.0,St. Anton am Arlberg,2026-02-27 06:14:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:5,HŽPP/ÖBB EN 40414,5.0,Feldkirch,2026-02-27 07:21:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:6,HŽPP/ÖBB EN 40414,6.0,Buchs (SG),2026-02-27 07:54:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40414:99,HŽPP/ÖBB EN 40414,99.0,Zürich HB,2026-02-27 09:20:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:0,HŽPP/ÖBB EN 40465,0.0,Zürich HB,,2026-02-27 19:40:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:1,HŽPP/ÖBB EN 40465,1.0,Buchs (SG),,2026-02-27 21:41:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:2,HŽPP/ÖBB EN 40465,2.0,Feldkirch,,2026-02-27 22:08:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:3,HŽPP/ÖBB EN 40465,3.0,Bludenz,,2026-02-27 23:01:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:4,HŽPP/ÖBB EN 40465,4.0,St. Anton am Arlberg,,2026-02-27 23:45:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:5,HŽPP/ÖBB EN 40465,5.0,Innsbruck Hbf,,2026-02-27 00:59:00,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:6,HŽPP/ÖBB EN 40465,6.0,Villach Hbf,2026-02-27 05:51:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:7,HŽPP/ÖBB EN 40465,7.0,Ljubljana,2026-02-27 08:09:00,,,,,,,,,,,,,,,,,,,,,
HŽPP/ÖBB EN 40465:99,HŽPP/ÖBB EN 40465,99.0,Zagreb Gl. K.,2026-02-27 10:39:00,,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:0,MÁV EN 40476,0.0,Budapest Nyugati,,2026-02-27 19:30:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:1,MÁV EN 40476,1.0,Vac,,2026-02-27 19:57:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:2,MÁV EN 40476,2.0,Bratislava hl.st.,,2026-02-27 21:58:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:3,MÁV EN 40476,3.0,Brno hl.n.,,2026-02-27 00:29:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:4,MÁV EN 40476,4.0,Dresden Hbf,2026-02-27 05:57:00,,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:5,MÁV EN 40476,5.0,Dresden Neustadt,2026-02-27 06:05:00,,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:6,MÁV EN 40476,6.0,Berlin Südkreuz,2026-02-27 08:04:00,,,,,,,,,,,,,,,,,,,,,
MÁV EN 40476:99,MÁV EN 40476,99.0,Berlin Hbf,2026-02-27 08:15:00,,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:0,MÁV EN 40457,0.0,Berlin Hbf,,2026-02-27 19:21:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:1,MÁV EN 40457,1.0,Berlin Südkreuz,,2026-02-27 19:28:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:2,MÁV EN 40457,2.0,Dresden Neustadt,,2026-02-27 21:53:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:3,MÁV EN 40457,3.0,Dresden Hbf,,2026-02-27 22:08:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:4,MÁV EN 40457,4.0,Ústí nad Labem hl.n.,,2026-02-27 23:15:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:5,MÁV EN 40457,5.0,Praha-Holešovice,,2026-02-27 00:40:00,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:6,MÁV EN 40457,6.0,Bratislava hl.st.,2026-02-27 06:02:00,,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:7,MÁV EN 40457,7.0,Vac,2026-02-27 07:59:00,,,,,,,,,,,,,,,,,,,,,
MÁV EN 40457:99,MÁV EN 40457,99.0,Budapest Nyugati,2026-02-27 08:29:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605:0,MÁV 1246 / 1605,0.0,Budapest Déli,,2026-02-27 20:30:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605:1,MÁV 1246 / 1605,1.0,Budapest Kelenföld,,2026-02-27 20:37:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605:2,MÁV 1246 / 1605,2.0,Vesprem,,2026-02-27 21:57:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605:3,MÁV 1246 / 1605,3.0,Zalaegerszeg,,2026-02-27 00:12:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605:4,MÁV 1246 / 1605,4.0,Ljubljana,2026-02-27 05:51:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605:99,MÁV 1246 / 1605,99.0,Koper,2026-02-27 08:34:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1604 / 1247:0,MÁV 1604 / 1247,0.0,Koper,,2026-02-27 20:15:00,,,,,,,,,,,,,,,,,,,,
MÁV 1604 / 1247:1,MÁV 1604 / 1247,1.0,Ljubljana,,2026-02-27 00:15:00,,,,,,,,,,,,,,,,,,,,
MÁV 1604 / 1247:2,MÁV 1604 / 1247,2.0,Zalaegerszeg,2026-02-27 04:31:00,2026-02-27 05:27:00,,,,,,,,,,,,,,,,,,,,
MÁV 1604 / 1247:3,MÁV 1604 / 1247,3.0,Vesprem,2026-02-27 07:04:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1604 / 1247:4,MÁV 1604 / 1247,4.0,Budapest Kelenföld,2026-02-27 08:21:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1604 / 1247:99,MÁV 1604 / 1247,99.0,Budapest Déli,2026-02-27 08:29:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605 / 481:0,MÁV 1246 / 1605 / 481,0.0,Budapest Déli,,2026-02-27 20:30:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605 / 481:1,MÁV 1246 / 1605 / 481,1.0,Budapest Kelenföld,,2026-02-27 20:37:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605 / 481:2,MÁV 1246 / 1605 / 481,2.0,Vesprem,,2026-02-27 21:57:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605 / 481:3,MÁV 1246 / 1605 / 481,3.0,Zalaegerszeg,,2026-02-27 00:12:00,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605 / 481:4,MÁV 1246 / 1605 / 481,4.0,Ljubljana,2026-02-27 05:51:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605 / 481:5,MÁV 1246 / 1605 / 481,5.0,Opatija Matulji,2026-02-27 09:08:00,,,,,,,,,,,,,,,,,,,,,
MÁV 1246 / 1605 / 481:99,MÁV 1246 / 1605 / 481,99.0,Rijeka,2026-02-27 09:25:00,,,,,,,,,,,,,,,,,,,,,
MÁV 480 / 1604 / 1247:0,MÁV 480 / 1604 / 1247,0.0,Rijeka,,2026-02-27 20:50:00,,,,,,,,,,,,,,,,,,,,
MÁV 480 / 1604 / 1247:1,MÁV 480 / 1604 / 1247,1.0,Opatija Matulji,,2026-02-27 21:07:00,,,,,,,,,,,,,,,,,,,,
MÁV 480 / 1604 / 1247:2,MÁV 480 / 1604 / 1247,2.0,Ljubljana,,2026-02-27 00:15:00,,,,,,,,,,,,,,,,,,,,
MÁV 480 / 1604 / 1247:3,MÁV 480 / 1604 / 1247,3.0,Zalaegerszeg,2026-02-27 04:31:00,2026-02-27 05:27:00,,,,,,,,,,,,,,,,,,,,
MÁV 480 / 1604 / 1247:4,MÁV 480 / 1604 / 1247,4.0,Vesprem,2026-02-27 07:04:00,,,,,,,,,,,,,,,,,,,,,
MÁV 480 / 1604 / 1247:5,MÁV 480 / 1604 / 1247,5.0,Budapest Kelenföld,2026-02-27 08:21:00,,,,,,,,,,,,,,,,,,,,,
MÁV 480 / 1604 / 1247:99,MÁV 480 / 1604 / 1247,99.0,Budapest Déli,2026-02-27 08:29:00,,,,,,,,,,,,,,,,,,,,,
MÁV IC 1204:0,MÁV IC 1204,0.0,Budapest Keleti,,2026-02-27 18:53:00,,,,,,,,,,,,,,,,,,,,
