train_stop_id,trip_id,stop_sequence,stop_id,arrival_time,departure_time,no_exit,no_entry,border_control,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25
BDŽ 2627:5,BDŽ 2627,5.0,Bov,2026-02-27 23:50:00,2026-02-27 23:51:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:6,BDŽ 2627,6.0,Lakatnik,2026-02-27 23:59:00,2026-02-27 23:59:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:7,BDŽ 2627,7.0,Zverino,2026-02-27 00:19:00,2026-02-27 00:20:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:8,BDŽ 2627,8.0,Mezdra,2026-02-27 00:37:00,2026-02-27 00:38:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:9,BDŽ 2627,9.0,Roman,2026-02-27 00:51:00,2026-02-27 00:52:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:10,BDŽ 2627,10.0,Cherven Bryag,2026-02-27 01:12:00,2026-02-27 01:13:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:11,BDŽ 2627,11.0,Pleven,2026-02-27 01:50:00,2026-02-27 01:52:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:12,BDŽ 2627,12.0,Targovishte,2026-02-27 04:26:00,2026-02-27 04:27:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:13,BDŽ 2627,13.0,Shumen,2026-02-27 04:57:00,2026-02-27 04:59:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:14,BDŽ 2627,14.0,Kaspichan,2026-02-27 05:17:00,2026-02-27 05:18:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:15,BDŽ 2627,15.0,Provadiya,2026-02-27 05:43:00,2026-02-27 05:44:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:16,BDŽ 2627,16.0,Dobrina,2026-02-27 05:48:00,2026-02-27 05:49:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:17,BDŽ 2627,17.0,Sindel,2026-02-27 06:08:00,2026-02-27 06:09:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:18,BDŽ 2627,18.0,Poveljanovo,2026-02-27 06:16:00,2026-02-27 06:25:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:19,BDŽ 2627,19.0,Beloslav,2026-02-27 06:30:00,2026-02-27 06:31:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:99,BDŽ 2627,99.0,Varna,2026-02-27 06:52:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:0,BDŽ 2636,0.0,Dobrich,,2026-02-27 20:35:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:1,BDŽ 2636,1.0,Donchevo,2026-02-27 20:42:00,2026-02-27 20:43:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:2,BDŽ 2636,2.0,Botevo,2026-02-27 20:52:00,2026-02-27 20:53:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:3,BDŽ 2636,3.0,Oborishte,2026-02-27 21:00:00,2026-02-27 21:01:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:4,BDŽ 2636,4.0,General Kiselovo,2026-02-27 21:08:00,2026-02-27 21:09:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:5,BDŽ 2636,5.0,Valchi Dol,2026-02-27 21:16:00,2026-02-27 21:17:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:6,BDŽ 2636,6.0,Suvorovo,2026-02-27 21:28:00,2026-02-27 21:29:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:7,BDŽ 2636,7.0,Chernevo,2026-02-27 21:34:00,2026-02-27 21:35:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:8,BDŽ 2636,8.0,Kipra,2026-02-27 21:38:00,2026-02-27 21:39:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:9,BDŽ 2636,9.0,Devnya,2026-02-27 21:45:00,2026-02-27 21:46:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:10,BDŽ 2636,10.0,Poveljanovo,2026-02-27 21:55:00,2026-02-27 22:21:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:12,BDŽ 2636,12.0,Zverino,2026-02-27 04:23:00,2026-02-27 04:25:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:13,BDŽ 2636,13.0,Svoge,2026-02-27 05:02:00,2026-02-27 05:04:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:14,BDŽ 2636,14.0,Kurilo,2026-02-27 05:26:00,2026-02-27 05:27:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:15,BDŽ 2636,15.0,Sofia Sever,2026-02-27 05:39:00,2026-02-27 05:41:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:99,BDŽ 2636,99.0,Sofia,2026-02-27 05:45:00,2026-02-27 04:06:00,0.0,0.0,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,,
BDŽ 2637:0,BDŽ 2637,0.0,Sofia,,2026-02-27 23:00:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:1,BDŽ 2637,1.0,Sofia Sever,2026-02-27 23:05:00,2026-02-27 23:06:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:2,BDŽ 2637,2.0,Rebrovo,2026-02-27 23:27:00,2026-02-27 23:28:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:3,BDŽ 2637,3.0,Svoge,2026-02-27 23:37:00,2026-02-27 23:38:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:4,BDŽ 2637,4.0,Cerovo,2026-02-27 23:46:00,2026-02-27 23:46:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:5,BDŽ 2637,5.0,Bov,2026-02-27 23:50:00,2026-02-27 23:51:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:6,BDŽ 2637,6.0,Lakatnik,2026-02-27 23:59:00,2026-02-27 00:00:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:7,BDŽ 2637,7.0,Zverino,2026-02-27 00:20:00,2026-02-27 00:21:00,0.0,0.0,,,,,,,,,,,,,,,,,,
